# Full Transcription

 Yes. Are you excited? Super. Awesome. Your first time? First one. Alright. We are going at 13,000 feet. 13,000? Yes. Okay. Are you preparing for that? I think the thing is, you know, this is... I think I'm going to see if you can use your phone there. Oh, you gotta leave that here, actually. I think we, like, are going to go to the beach. No, I don't know. I'm going to the beach. Oh, yeah, yeah. We're going higher than that. We're going in free fall. 120 miles per hour. Nice. Yeah. Alright, let me do. Alright. See you in the sand. I know. Whoa! I know. Here we go.

# Segments with Timestamps

[00:00.00 --> 00:02.00]  Yes. Are you excited?
[00:02.00 --> 00:03.00]  Super.
[00:03.00 --> 00:05.00]  Awesome. Your first time?
[00:05.00 --> 00:06.00]  First one.
[00:06.00 --> 00:09.00]  Alright. We are going at 13,000 feet.
[00:09.00 --> 00:10.00]  13,000?
[00:10.00 --> 00:11.00]  Yes.
[00:11.00 --> 00:12.00]  Okay.
[00:12.00 --> 00:14.00]  Are you preparing for that?
[00:14.00 --> 00:15.00]  I think the thing is, you know, this is...
[00:15.00 --> 00:17.00]  I think I'm going to see if you can use your phone there.
[00:17.00 --> 00:19.00]  Oh, you gotta leave that here, actually.
[00:19.00 --> 00:21.00]  I think we, like, are going to go to the beach.
[00:21.00 --> 00:22.00]  No, I don't know. I'm going to the beach.
[00:22.00 --> 00:23.00]  Oh, yeah, yeah.
[00:23.00 --> 00:24.00]  We're going higher than that.
[00:24.00 --> 00:26.00]  We're going in free fall.
[00:26.00 --> 00:27.00]  120 miles per hour.
[00:27.00 --> 00:28.00]  Nice.
[00:28.00 --> 00:29.00]  Yeah.
[00:29.00 --> 00:30.00]  Alright, let me do.
[00:30.00 --> 00:31.00]  Alright. See you in the sand.
[00:31.00 --> 00:32.00]  I know.
[00:32.00 --> 00:33.00]  Whoa!
[00:33.00 --> 00:34.00]  I know.
[00:40.00 --> 00:41.00]  Here we go.
